id	chapter	topic	kind	front	answer	explanation	common_trap	difficulty	tags
ch01-022	1	CPI bias	recall	What is quality-change bias in the CPI?	If quality improves but the index treats the good as unchanged, measured price growth can overstate the rise in the true cost of living.	The tutorial’s iPhone example keeps the sticker price constant while quality rises. A constant measured price then misses a fall in the quality-adjusted price.	A higher price for a much better product is not necessarily pure inflation.	2	CPI,bias
ch01-023	1	GDP and welfare	recall	Why is real GDP per capita an imperfect measure of economic welfare?	It measures market production per person, not welfare directly.	It omits or poorly captures household production, leisure, distribution, environmental degradation, many non-market activities and other dimensions of quality of life. It is still useful because material production strongly affects living standards.	“GDP is imperfect” does not imply “GDP is useless.”	2	welfare,GDP
ch01-024	1	Growth rate	formula	What is the standard percentage growth formula for real GDP?	Growth = (Y_t - Y_{t-1}) / Y_{t-1} × 100%.	The denominator is the previous period’s level. The same percentage-change logic is used repeatedly in the course for GDP, prices, debt ratios and exchange-rate changes.	Dividing by the new value instead of the old value is a common MCQ distractor.	1	formula,growth
ch01-025	1	Business cycle	recall	What is a classical business cycle recession?	A period in which the level of real GDP declines from a peak to a trough.	The textbook distinguishes the classical cycle, which focuses on the level of GDP, from growth-cycle ideas that focus on deviations from trend or potential output.	A low positive growth rate is not necessarily a classical recession if the level of GDP is still rising.	2	business-cycle
ch01-026	1	Technical recession	recall	What is the common “technical recession” rule?	Two consecutive quarters of negative real GDP growth.	It is a convenient rule of thumb, not a complete economic definition of recession. Broader assessments can consider depth, duration and labour-market conditions.	One negative quarter is not enough for this technical rule.	1	business-cycle,definition
ch01-027	1	Unexpected inflation	scenario	Who tends to gain from unexpectedly high inflation on a fixed nominal loan: borrower or lender?	The borrower gains and the lender loses in real terms.	The nominal repayment is fixed, but unexpectedly higher prices reduce its purchasing power. The realized real interest rate is therefore lower than the lender expected.	This result assumes the nominal rate was fixed before the inflation surprise.	1	inflation,redistribution
ch01-028	1	Unexpected inflation	recall	Why is volatile, unanticipated inflation costly even apart from redistribution?	It makes it harder to distinguish changes in relative prices from changes in the general price level and makes planning and contracts more uncertain.	Relative-price signals guide resource allocation. Extra noise from unpredictable inflation can lead households and firms to make poorer decisions and increases forecasting and contracting costs.	Perfectly anticipated inflation removes much of this uncertainty but not all inflation costs.	2	inflation,costs
ch01-029	1	Menu costs	recall	What are menu costs of inflation?	Real resource costs incurred because firms must change prices more frequently.	The restaurant-menu example is literal, but the concept includes repricing systems, catalogues, contracts and administrative effort. They remain even when inflation is perfectly anticipated.	Menu costs are not the loss of purchasing power itself.	1	inflation,costs
ch01-030	1	Shoe-leather costs	recall	What are shoe-leather costs of inflation?	Extra transaction costs caused by efforts to economise on non-interest-bearing or low-interest money balances.	When inflation raises the opportunity cost of holding cash, people shift more often between money and interest-bearing assets. The classic metaphor is making more trips to the bank.	They are not literally limited to worn-out shoes; they are resource costs of cash management.	1	inflation,costs
ch01-031	1	Bracket creep	scenario	What is bracket creep under an unindexed progressive income-tax system?	Inflation pushes nominal income into higher tax brackets even if real income has not increased.	The tutorial shows a worker whose nominal income rises only to keep pace with prices, yet her tax liability rises faster because thresholds are fixed in nominal terms. Indexing thresholds to inflation prevents this arbitrary real tax increase.	A higher nominal wage during inflation does not automatically mean a higher real wage.	2	inflation,tax
ch01-032	1	Positive inflation target	recall	Why might policymakers prefer a small positive inflation target rather than zero?	Positive inflation can facilitate real-wage adjustment when nominal wages are downward rigid and can leave more room to cut nominal interest rates before hitting a lower bound.	The textbook uses both arguments. With positive inflation, real wages can fall even if money wages do not; and higher normal nominal rates give monetary policy more conventional easing space in downturns.	This is an argument for low positive inflation, not for high or unstable inflation.	3	inflation,policy
ch01-033	1	Deflation	contrast	What is the difference between “good” and “bad” deflation in the textbook discussion?	Bad deflation is associated with weak output and high unemployment; good deflation can arise from widespread productivity/production gains that lower prices.	The sign of inflation alone does not reveal the underlying cause. A supply-driven fall in prices can accompany rising real output, whereas demand-collapse deflation can reinforce stagnation.	Do not infer recession solely from a negative inflation rate.	3	deflation,business-cycle
ch02-001	2	Labour-force classification	recall	What are the three mutually exclusive labour-market states for a working-age person?	Employed, unemployed, or not in the labour force.	Labour-force statistics partition the working-age population into these three states. The labour force is the employed plus the unemployed; people outside it are neither employed nor actively counted as unemployed.	“Not working” is not synonymous with unemployed.	1	labour-force,definition
ch02-002	2	Unemployment definition	recall	Under the standard labour-force definition, who counts as unemployed?	A working-age person without a job who is available for work and actively seeking work.	The precise survey criteria matter because someone can want a job yet be outside the labour force if they are not actively searching. This is why discouraged workers are a recurring exam trap.	Do not classify every person without paid work as unemployed.	1	labour-force,definition
ch02-003	2	Labour force	formula	How do you calculate the labour force?	Labour force LF = employed E + unemployed U.	The labour force excludes people classified as not in the labour force. It is the denominator of the unemployment rate and the numerator component of the participation rate.	Do not use working-age population as the unemployment-rate denominator.	1	formula,labour-force
ch02-004	2	Unemployment rate	formula	How do you calculate the unemployment rate?	u = U / LF × 100%.	Only people in the labour force are in the denominator. A person moving from unemployment to not in the labour force can reduce the measured unemployment rate even without finding a job.	Using U / working-age population gives a different statistic.	1	formula,labour-force
ch02-005	2	Participation rate	formula	How do you calculate the labour-force participation rate?	Participation rate = LF / working-age population × 100%.	It measures the share of the working-age population either working or actively seeking work. Changes in participation can therefore change unemployment statistics even if employment is unchanged.	Participation is not employment divided by working-age population.	1	formula,labour-force
ch02-006	2	Employment-to-population ratio	formula	How do you calculate the employment-to-population ratio?	Employment-to-population ratio = E / working-age population × 100%.	This measure is less sensitive than the unemployment rate to whether non-employed people are actively searching. It gives a direct measure of the fraction of working-age people who are employed.	Do not divide employment by the labour force; that would be 1 - unemployment rate.	1	formula,labour-force
ch02-007	2	Labour statistics	calculation	A country has working-age population 1,000, participation 70%, and employment-to-population 60%. Find LF, E, U and u.	LF = 700; E = 600; U = 100; u = 100/700 = 14.29%.	Participation gives LF = 0.70×1000. The employment ratio gives E = 0.60×1000. Unemployment is the residual within the labour force, then divide by LF for the rate.	Do not subtract the employment rate from the participation rate and call the result the unemployment rate; that gives U as a share of population, not LF.	2	calculation,labour-force
ch02-008	2	Discouraged workers	scenario	How are discouraged workers normally classified in official labour-force statistics?	Not in the labour force.	They do not have a job and may want one, but if they have stopped actively searching they fail the active-search criterion for unemployment. Their exit can make measured unemployment fall without labour-market improvement.	Discouraged workers are not automatically counted as unemployed.	1	classification,labour-force
ch02-009	2	Frictional unemployment	recall	What is frictional unemployment?	Short-term unemployment arising from normal search and matching as workers move between jobs.	Even a healthy labour market has search time because workers and jobs are heterogeneous and information is imperfect. A skilled worker interviewing for several suitable jobs is a typical course example.	Frictional unemployment is not caused by an economy-wide shortage of jobs.	1	unemployment-types
ch02-010	2	Structural unemployment	recall	What is structural unemployment?	Unemployment caused by a mismatch between workers’ skills/location and available jobs or by persistent labour-market structures.	Technological change, industry decline or geographic mismatch can leave workers unable to move quickly into available positions. It is part of the natural rate because it need not disappear at potential output.	A temporary layoff caused by recession is cyclical, not structural.	1	unemployment-types
ch02-011	2	Cyclical unemployment	recall	What is cyclical unemployment?	Unemployment associated with short-run aggregate economic downturns and negative output gaps.	When aggregate demand and output fall below potential, firms need fewer workers. This component rises in recessions and falls in booms.	Cyclical unemployment is excluded from the natural unemployment rate.	1	unemployment-types
ch02-012	2	Natural unemployment	formula	How is the natural rate of unemployment conceptually decomposed?	Natural unemployment = frictional unemployment + structural unemployment.	It is the unemployment consistent with normal utilisation of resources/potential output, not zero unemployment. Cyclical unemployment is the deviation from this natural benchmark.	“Full employment” in this course does not mean u = 0.	1	unemployment-types,natural-rate
ch02-013	2	Natural rate flows	formula	With constant labour force, job-separation rate s and job-finding rate f, what is the steady-state unemployment rate?	u* = s / (s + f).	In steady state, flows into unemployment equal flows out: sE = fU. Using E = LF - U and dividing by LF yields u* = s/(s+f). Higher finding rates lower the steady-state unemployment rate; higher separation rates raise it.	Do not use s/f without the +s in the denominator.	3	formula,natural-rate,flows
ch02-014	2	Natural rate flows	calculation	If s = 0.02 and f = 0.13, what is the steady-state unemployment rate?	0.02/(0.02+0.13) = 0.1333 = 13.33%.	At that rate the number separating from jobs exactly equals the number finding jobs. This is the chapter review example and is a likely compact MCQ calculation.	Rates must be in the same time units.	2	calculation,natural-rate
ch02-015	2	Labour-market flows	recall	How many possible directional flows are there among employment, unemployment and not-in-labour-force, excluding staying in the same state?	Six.	Each of the three states can send people to either of the other two: E→U, E→N; U→E, U→N; N→E, N→U. Recognising these flows helps explain why unemployment can change through participation as well as hiring/firing.	There are nine transitions if “stay put” transitions are included, but the question asks cross-state flows.	2	labour-force,flows
ch02-016	2	Potential output	recall	What is potential output Y*?	The level of aggregate production when labour and capital are utilised at normal, sustainable rates—roughly the economy’s long-run path.	Potential output is not a hard physical maximum. Actual output can temporarily exceed Y* if resources are used above normal intensity, creating an expansionary output gap.	Do not equate potential output with maximum possible output.	1	potential-output,definition
ch02-017	2	Output gap	formula	How is the percentage output gap defined?	Output gap = (Y - Y*) / Y* × 100%.	A negative gap means actual output is below potential; a positive gap means output is above potential. The course later links the gap to unemployment and inflation dynamics.	The denominator is potential output Y*, not actual output Y.	1	formula,output-gap
ch02-018	2	Okun’s law	formula	State the course’s Okun’s-law relationship between the output gap and cyclical unemployment.	(Y - Y*)/Y* × 100 = -β(u - u*), with β > 0.	A negative output gap corresponds to unemployment above its natural rate. The coefficient β measures how strongly output deviations are associated with cyclical unemployment.	The minus sign matters: output and cyclical unemployment move in opposite directions.	2	formula,Okun
ch02-019	2	Okun’s law	calculation	If the output gap is -2%, β = 2.5 and u* = 4%, what is u?	u - u* = 0.8 percentage points, so u = 4.8%.	From -2 = -2.5(u-u*), cyclical unemployment is +0.8 percentage points. Add it to the natural rate to obtain actual unemployment.	Keep percentage points and decimal fractions consistent.	2	calculation,Okun
ch02-020	2	Marginal product of labour	recall	What is the marginal product of labour (MPL)?	The additional output produced by one more unit of labour, holding other inputs such as capital fixed.	The course assumes diminishing MPL: extra workers still raise output, but by progressively smaller amounts when capital and technology are fixed. MPL is central to the firm’s labour-demand decision.	MPL is a change in output, not total output per worker.	1	MPL,labour-demand
ch02-021	2	Value of marginal product	formula	How is the value of the marginal product of labour calculated?	VMPL = p × MPL, where p is the firm’s output price.	VMPL converts the physical extra output from a worker into extra revenue. A profit-maximising competitive firm hires labour while the additional revenue is at least the wage cost.	Do not multiply MPL by the aggregate price level unless the firm’s output price is what is intended.	1	formula,VMPL
ch02-022	2	Firm labour demand	recall	What hiring rule determines a competitive firm’s labour demand?	Hire workers up to the point where the value of marginal product is approximately equal to the nominal wage: p×MPL = W.	If the next worker’s VMPL exceeds W, hiring them raises profit; if VMPL is below W, they cost more than the extra revenue they generate. Diminishing MPL gives a downward-sloping labour-demand schedule.	The rule is marginal, not “average product equals wage.”	2	labour-demand,marginal-analysis
ch02-023	2	Aggregate labour demand	formula	In aggregate real terms, what condition links labour demand to the real wage?	MPL ≈ W/P at the competitive margin.	When the firm’s output price moves with the aggregate price level, dividing p×MPL = W by P yields a real-wage condition. Because MPL falls as employment rises, labour demand slopes downward in real-wage/employment space.	The real wage is W/P, not W×P.	2	labour-demand,real-wage
ch02-024	2	Labour demand shift	scenario	What happens to a firm’s labour-demand curve if the relative price of its output falls?	Labour demand shifts left/inward.	A lower output price reduces VMPL at every employment level, making fewer workers profitable at any given wage. The equilibrium wage and employment at that firm tend to fall, other things equal.	This is a shift of labour demand, not a movement along it caused by a wage change.	2	shifts,labour-demand
ch02-025	2	Labour demand shift	scenario	What happens to labour demand if worker productivity/MPL rises?	Labour demand shifts right/outward.	Higher MPL raises the value produced by each worker and therefore raises VMPL. Firms are willing to employ more labour at any given real wage.	A productivity change shifts demand; a real-wage change moves along demand.	1	shifts,labour-demand
ch02-026	2	Labour supply shift	scenario	Several nearby plants close, releasing workers with similar skills. What happens to labour supply to the remaining plant?	It shifts right/outward.	More workers are available to the surviving employer at each wage. In the standard competitive diagram this tends to lower the equilibrium real wage and raise employment at the remaining plant.	This is a change in local labour supply, not labour demand.	2	shifts,labour-supply
ch02-027	2	Wage floor	scenario	What does a binding wage floor or union wage above the competitive equilibrium do in the simple labour-market model?	It reduces employment demanded and creates excess labour supply/unemployment.	At the higher real wage firms move up along their labour-demand curve and hire fewer workers, while more workers may wish to supply labour. The gap between supply and demand is unemployment in the model.	A wage floor below equilibrium is non-binding and has no effect.	1	wage-floor,unemployment
ch02-028	2	Labour tax wedge	scenario	In the course model, what is the effect of an income tax on workers on labour supply and the wage wedge?	Labour supply shifts up/left; employment falls; the wage paid by firms exceeds the after-tax wage received by workers.	For a given employer cost, workers keep less after tax, reducing willingness to work. The tax wedge is the difference between the real labour cost to firms and the real wage workers retain.	Do not assume the entire tax burden necessarily falls on workers; equilibrium incidence depends on supply and demand.	3	tax,labour-market
ch02-029	2	Nominal vs real wage	scenario	If the price level and money wage both double, what happens to the real wage and labour demanded, other things equal?	The real wage W/P is unchanged, so labour demanded is unchanged.	Doubling numerator and denominator leaves W/P constant. The chapter review uses this to test whether you distinguish nominal from real variables.	A doubled money wage alone would raise the real wage if P did not also double.	1	nominal-real,labour-demand
ch02-030	2	Structural change	scenario	Self-service technology permanently displaces checkout workers whose skills do not match available jobs. Which unemployment component is most likely to rise persistently?	Structural unemployment.	The key is persistent mismatch. There can be some short-lived frictional unemployment during normal search, but prolonged inability to match skills to jobs raises structural unemployment and therefore the natural rate.	Technology-induced job loss is not automatically cyclical unemployment.	2	unemployment-types,scenario
ch02-031	2	Recession and unemployment	contrast	In the course’s basic definitions, how should a recession affect the natural and cyclical unemployment rates?	Cyclical unemployment rises; the natural rate is conceptually unchanged by the recession itself.	The natural rate is defined as frictional plus structural unemployment. A recession creates a negative output gap and increases the cyclical component, although prolonged recessions could in reality have longer-run structural effects.	For exam purposes use the model’s definition unless the question explicitly introduces hysteresis or structural change.	2	recession,unemployment
ch03-001	3	Nominal interest	recall	What does a nominal interest rate measure?	The percentage increase in the number of dollars (or units of currency) promised over the period.	A nominal return tells you how many more dollars you receive, but not how purchasing power changes. To get the real return, adjust for inflation over the same period.	Do not subtract inflation when the question asks specifically for the nominal rate.	1	interest-rates,nominal-real
ch03-002	3	Gross vs net interest	formula	If the net nominal interest rate is i, what is the gross interest rate?	1 + i.	If $1 grows to $(1+i), the net rate is i and the gross growth factor is 1+i. Many multi-period formulas use gross rates because they compound multiplicatively.	A 5% rate means i=0.05 and gross rate 1.05, not 5.	1	interest-rates,formula
ch03-003	3	Exact real interest	formula	What is the exact relationship between nominal interest i, inflation π and the realized real interest rate r?	1 + r = (1 + i)/(1 + π), so r = (1+i)/(1+π) - 1.	The real rate compares how the nominal payoff changes relative to the price level. The familiar subtraction r ≈ i - π is a close approximation for modest rates.	The exact formula is multiplicative, not simply i-π.	2	interest-rates,formula
ch03-004	3	Approximate real interest	formula	What is the common approximation for the real interest rate?	r ≈ i - π.	For small percentage rates, the interaction term is tiny. Use actual inflation for an ex-post real rate and expected inflation for an ex-ante/expected real rate.	Match actual versus expected inflation to the wording of the question.	1	interest-rates,formula
ch03-005	3	Ex-post vs expected real rate	contrast	What is the difference between ex-post and expected real interest rates?	Ex-post uses actual inflation after the fact; expected real interest uses expected inflation known when the decision is made.	Investment and saving decisions generally depend on the expected real rate because future inflation is unknown at the time. Unexpected inflation creates a gap between expected and realized real returns.	Do not use realized inflation to describe the rate a decision-maker expected beforehand.	2	interest-rates,expectations
ch03-006	3	Fisher effect	formula	State the Fisher effect used in the course.	i ≈ r + πᵉ; if the equilibrium real rate is fixed, expected inflation raises the nominal interest rate roughly one-for-one.	The Fisher effect links nominal rates to expected inflation, not necessarily current realized inflation. With r fixed at 2%, expected inflation of 4% implies nominal i ≈ 6%.	It is expected inflation πᵉ that belongs in the ex-ante Fisher relation.	1	Fisher-effect,formula
ch03-007	3	Fisher effect	calculation	A deposit pays 1.75% nominal and a saver expects a 1.5% real return. What expected inflation is consistent with the approximate Fisher effect?	0.25%.	From i = r + πᵉ, πᵉ = 1.75% - 1.5% = 0.25%. This is exactly the style of compact numerical question used in the chapter review.	Subtract the real rate from the nominal rate, not vice versa.	1	calculation,Fisher-effect
ch03-008	3	Zero lower bound	scenario	If a nominal rate is stuck at zero and expected inflation becomes more negative, what happens to the expected real rate?	It rises.	Using r ≈ i - πᵉ with i=0, r≈-πᵉ. More expected deflation therefore makes borrowing more expensive in real terms, which can weaken spending during a downturn.	Deflation can tighten real monetary conditions even when nominal rates cannot be cut further.	2	interest-rates,deflation
ch03-009	3	Investment definition	recall	What does investment mean in macroeconomics?	Expenditure on newly produced capital goods plus inventory accumulation.	It includes business fixed capital, residential construction and inventories. It is a real expenditure concept, distinct from acquiring an existing financial asset.	Buying shares is financial saving, not macroeconomic investment I.	1	investment,definition
ch03-010	3	Capital stock	contrast	Why is investment a flow while capital is a stock?	Investment is measured over a period; the capital stock is measured at a point in time.	Flows change stocks. Gross investment adds to the capital stock during a period while depreciation removes part of the existing stock.	Never add a stock measured on a date directly to a flow measured per year without a stock-flow equation.	1	stock-flow,investment
ch03-011	3	Capital accumulation	formula	State the capital accumulation equation.	K₁ = K₀ + I - δK₀ = (1-δ)K₀ + I.	The ending stock equals surviving old capital plus gross investment. Here δK₀ is physical depreciation during the period.	Some extracted course text contains a typo with a plus sign before depreciation; the lectures and economic logic use subtraction.	1	capital,formula
ch03-012	3	Net investment	formula	How is net investment defined?	Net investment = gross investment I - depreciation δK.	Positive net investment raises the capital stock; zero net investment keeps it constant; negative net investment means the capital stock shrinks.	Gross investment can be positive while net investment is negative if depreciation is larger.	1	investment,formula
ch03-013	3	Capital accumulation	calculation	K₀=100, I=20 and K₁=115. What depreciation rate δ is implied?	5%.	115 = 100 + 20 - δ×100, so depreciation is 5 and δ=0.05. This calculation can also be reversed to find investment or the ending stock.	Use depreciation on the beginning capital stock for this one-period equation.	2	calculation,capital
ch03-014	3	Marginal product of capital	recall	What is the marginal product of capital (MPK)?	The increase in output from one additional unit of capital, holding other inputs fixed.	As with labour, the course typically assumes a positive but diminishing marginal product. This creates a ranking of investment projects from high to low marginal benefit.	MPK is a physical output increment, not a dollar return.	1	investment,MPK
ch03-015	3	Value of marginal product of capital	formula	How do you calculate VMPK?	VMPK = p × MPK.	Multiplying the extra physical output by its sale price gives the extra revenue benefit from another unit of capital. Firms compare this benefit with the user cost of capital.	Compare VMPK to a dollar user cost, not to the interest rate alone unless units have already been normalised.	1	investment,formula
ch03-016	3	User cost of capital	recall	What is the user cost of capital intuitively?	The economic cost of owning and using a capital good for a period, including financing/opportunity cost, depreciation and any resale-price change.	The purchase price alone is not the one-period cost because the firm still owns a depreciated asset at the end. The exact course formula subtracts the resale value of the depreciated capital good.	Do not equate user cost with the sticker price of the capital good.	2	investment,user-cost
ch03-017	3	User cost of capital	formula	State the exact one-period user-cost formula from the course.	UC = P_K + iP_K - (1-δ)(P_K + ΔP_K).	The firm pays the purchase price and financing/opportunity cost, then recovers the market value of the remaining depreciated asset at period end. This exact formula simplifies to a useful approximation.	The final resale term is subtracted because it is value the firm retains.	3	investment,formula,user-cost
ch03-018	3	User cost approximation	formula	What is the approximate user cost if capital-goods prices rise at the general inflation rate?	UC ≈ P_K(r + δ), or in rate form uc ≈ r + δ.	Starting from UC ≈ P_K[i + δ - ΔP_K/P_K], replacing capital-price inflation by π gives i-π=r. Thus a higher real interest rate or depreciation rate raises the cost of holding capital.	Use the real rate in the simplified formula, not the nominal rate plus inflation.	2	investment,formula,user-cost
ch03-019	3	Investment decision	recall	What marginal condition guides a firm’s investment decision?	Undertake an additional unit of investment if its expected VMPK is at least as large as its user cost.	If marginal benefit exceeds marginal cost, the investment raises expected profit. Diminishing MPK means the firm stops once the next unit no longer covers its user cost.	This is a marginal rule; sunk costs should not determine the next-unit decision.	2	investment,marginal-analysis
ch03-020	3	Investment demand	relationship	Why does desired investment slope downward with the real interest rate?	A higher real rate raises the user cost of capital, so fewer prospective investments have VMPK high enough to justify undertaking them.	This gives I(r) a negative slope. A fall in r causes a movement along the investment schedule toward more investment.	A change in expected profitability or productivity shifts the investment curve; r itself causes movement along it.	1	investment,shifts
ch03-021	3	Household saving	formula	What is household saving in the course national-accounts framework?	Household saving S_h = disposable income Y_D - consumption C.	The textbook defines Y_D from household receipts net of taxes and retained earnings: Y_D = Y - TA + TR + INT - RE under its notation. Household saving is a flow that can add to net wealth.	Do not confuse national income Y with household disposable income when taxes/transfers are present.	2	saving,formula
ch03-022	3	Wealth	formula	How is net wealth defined?	Net wealth = assets - liabilities.	Wealth is a stock measured at a point in time. It can rise through saving or through capital gains on existing assets, so a change in wealth is not the same thing as saving.	A rise in house prices can raise measured wealth without any current saving.	1	wealth,stock-flow
ch03-023	3	Wealth dynamics	formula	How does the course decompose the change in household wealth?	ΔW = saving + net capital gains.	Saving is the part arising from income not consumed; capital gains revalue existing assets. This explains why wealth-based and income-based measures of “saving” can differ.	Do not count an asset-price gain as national-account saving.	2	wealth,formula
